,PGC,re,amp,n
686,PGC127824,18.567,0.009194683236066715,0.654
687,PGC12783,39.495,0.008886902980992598,0.604
688,PGC12786,32.563,0.005968105500343691,1.056
689,PGC127863,34.302,0.0019555671496190494,1.984
690,PGC12788,62.94,0.013891177990721345,0.707
691,PGC12790,15.821,0.005666332945285232,0.594
692,PGC12794,17.627,0.006503679962709857,0.399
693,PGC12797,14.454,0.038643375969236574,0.504
694,PGC12798,,,
695,PGC128017,29.404,0.0018738189102627963,1.741
696,PGC12807,33.334,0.05216402816091625,0.47
697,PGC128074,18.562,0.003023078284004007,1.492
698,PGC128075,21.471,7.22879478928457e-05,0.864
699,PGC12816,,,
700,PGC128191,66.011,0.00038541103542984433,3.752
701,PGC12821,,,
702,PGC12825,,,
703,PGC12826,18.576,0.017257722171063476,0.28
704,PGC12827,19.4,0.002392371434024583,0.658
705,PGC128343,17.413,0.014862694536069782,0.479
706,PGC128348,15.269,0.019036338079423593,0.487
707,PGC128366,205.33,1.5959687053934867e-05,2.237
708,PGC12838,13.571,0.024767264769563244,0.777
709,PGC128407,14.596,0.005739191512673057,0.448
710,PGC12846,,,
711,PGC12848,,,
712,PGC128506,,,
713,PGC12868,,,
714,PGC12876,,,
715,PGC12877,26.591,0.008384861657148832,0.311
716,PGC12878,,,
717,PGC1288,23.452,0.01546371668487238,0.556
718,PGC12883,15.24,0.0031059661050245628,0.018
719,PGC12884,,,
720,PGC128845,19.808,0.0075725608211918245,1.891
721,PGC128867,18.504,0.0028712241318118474,1.95
722,PGC12889,,,
723,PGC128909,187.392,4.226287935987384e-05,7.839
724,PGC12893,,,
725,PGC128984,,,
726,PGC128986,,,
727,PGC129,30.485,0.006934726275048412,0.544
728,PGC12900,,,
729,PGC1290044,,,
730,PGC129035,,fit fail,fit fail
731,PGC12905,54.086,0.00010970935754490025,4.009
732,PGC12911,14.309,0.0818725717278163,0.385
733,PGC12912,14.682,0.036788678664748074,0.555
734,PGC129144,29.773,0.0020560235804091996,1.756
735,PGC12916,96.469,0.01694556842077568,0.501
736,PGC12917,135.542,9.913654002042037e-05,4.862
737,PGC129191,,,
738,PGC129199,21.426,0.01030656863104126,0.503
739,PGC1292,,,
740,PGC12922,,,
741,PGC12923,57.95,0.0025140928179885062,0.974
742,PGC129238,,,
743,PGC12928,26.282,0.005722020999832088,0.113
744,PGC129301,15.427,0.016354749544079995,0.585
